Probe	Ensembl
RPL23AP7_IL3844297	ENSG00000213753
NOC2L_IL4054639	ENSG00000188976
KLHL17_IL4053462	ENSG00000187961
PLEKHN1_IL4053495	ENSG00000187583
HES4_IL4054690	ENSG00000188290
ISG15_IL4053534	ENSG00000187608
C1orf159_IL2391005	ENSG00000131591
TTLL10_IL2315554	ENSG00000162571
TNFRSF18_IL2391150	ENSG00000186891
TNFRSF4_IL2391172	ENSG00000186827
SDF4_IL2391188	ENSG00000078808
B3GALT6_IL2315633	ENSG00000176022
UBE2J2_IL2391255	ENSG00000160087
SCNN1D_IL2315674	ENSG00000162572
ACAP3_IL2391302	ENSG00000131584
PUSL1_IL2315739	ENSG00000127054
DVL1_IL2391425	ENSG00000107404
MXRA8_IL2391465	ENSG00000162576
CCNL2_IL2391532	ENSG00000221978
ATAD3C_IL2315918	ENSG00000215915
ATAD3A_IL2315951	ENSG00000160072
SSU72_IL2391647	ENSG00000160075
MIB2_IL4042392	ENSG00000197530
MMP23B_IL4042278	ENSG00000189409
SLC35E2B_IL4044637	ENSG00000189339
CDK11B_IL2391744	ENSG00000008128
SLC35E2_IL4044515	ENSG00000215790
NADK_IL2391687	ENSG00000008130
GNB1_IL2391840	ENSG00000078369
CALML6_IL2316218	ENSG00000169885
GABRD_IL4054481	ENSG00000187730
PRKCZ_IL2316245	ENSG00000067606
C1orf86_IL2392095	ENSG00000162585
SKI_IL2316379	ENSG00000157933
MORN1_IL2392267	ENSG00000116151
RER1_IL2316558	ENSG00000157916
PEX10_IL2392421	ENSG00000157911
PLCH2_IL2316605	ENSG00000149527
PANK4_IL2392528	ENSG00000157881
MMEL1_IL2392666	ENSG00000215912
PRDM16_IL2316953	ENSG00000142611
TPRG1L_IL2317434	ENSG00000158109
TP73_IL2317317	ENSG00000078900
LRRC47_IL2393711	ENSG00000130764
DFFB_IL2317512	ENSG00000169598
C1orf174_IL2393816	ENSG00000198912
AJAP1_IL2317686	ENSG00000196581
NPHP4_IL2394361	ENSG00000131697
KCNAB2_IL2318086	ENSG00000069424
CHD5_IL2394478	ENSG00000116254
RPL22_IL2394558	ENSG00000116251
RNF207_IL2318157	ENSG00000158286
ICMT_IL2394588	ENSG00000116237
GPR153_IL2394608	ENSG00000158292
ACOT7_IL2394626	ENSG00000097021
ESPN_IL2318257	ENSG00000187017
TNFRSF25_IL2394699	ENSG00000215788
PLEKHG5_IL2394726	ENSG00000171680
NOL9_IL2394784	ENSG00000162408
ZBTB48_IL2318364	ENSG00000204859
KLHL21_IL2394817	ENSG00000162413
PHF13_IL2318398	ENSG00000116273
THAP3_IL2318416	ENSG00000041988
DNAJC11_IL2394841	ENSG00000007923
CAMTA1_IL2318455	ENSG00000171735
VAMP3_IL2318637	ENSG00000049245
UTS2_IL2395123	ENSG00000049246
TNFRSF9_IL2395146	ENSG00000049249
PARK7_IL2318736	ENSG00000116288
ERRFI1_IL2395177	ENSG00000116285
RERE_IL2395245	ENSG00000142599
ENO1_IL2395490	ENSG00000074800
CA6_IL2319135	ENSG00000131686
SLC2A5_IL2395564	ENSG00000142583
GPR157_IL2395626	ENSG00000180758
H6PD_IL2319225	ENSG00000049239
