Probe	Ensembl
2190220	ENSG00000116830
4480026	ENSG00000109270
6250553	ENSG00000167930
7100367	ENSG00000167912
1050682	ENSG00000122557
4780050	ENSG00000109814
3140431	ENSG00000105290
6650711	ENSG00000161647
3840397	ENSG00000104356
4150692	ENSG00000173193
6330653	ENSG00000235706
4880500	ENSG00000135316
6940689	ENSG00000127554
4180358	ENSG00000115266
4880133	ENSG00000073803
1660072	ENSG00000196961
4150358	ENSG00000131746
4290575	ENSG00000135185
7100288	ENSG00000166226
1510300	ENSG00000163435
6400358	ENSG00000158473
2750148	ENSG00000160961
6660446	ENSG00000164087
1450131	ENSG00000107371
7330544	ENSG00000109107
10102	ENSG00000205659
4670608	ENSG00000142686
3290386	ENSG00000068971
7160010	ENSG00000034677
1230682	ENSG00000089685
2510605	ENSG00000147689
6520435	ENSG00000144681
4850180	ENSG00000133800
5310204	ENSG00000138078
7200270	ENSG00000149554
2640471	ENSG00000101236
770609	ENSG00000109332
5890739	ENSG00000164691
1260327	ENSG00000128512
5890452	ENSG00000140675
2260725	ENSG00000257335
3870411	ENSG00000196597
6770497	ENSG00000181690
110136	ENSG00000165671
6270619	ENSG00000156853
7400372	ENSG00000109046
7650669	ENSG00000136111
7050646	ENSG00000196267
4830315	ENSG00000143507
2510750	ENSG00000173120
6250598	ENSG00000143776
780333	ENSG00000146221
840634	ENSG00000066185
3520754	ENSG00000163535
1710053	ENSG00000151778
4830209	ENSG00000224888
2900435	ENSG00000150459
6480274	ENSG00000174501
1820692	ENSG00000173947
3180215	ENSG00000132676
520689	ENSG00000148848
3180470	ENSG00000073578
5310332	ENSG00000168806
3890056	ENSG00000116641
7200707	ENSG00000198890
1010497	ENSG00000197037
940630	ENSG00000120162
20296	ENSG00000214367
510435	ENSG00000171033
110731	ENSG00000114948
2070095	ENSG00000166135
1240129	ENSG00000121406
3870056	ENSG00000001167
1470148	ENSG00000149201
4290358	ENSG00000135624
1170278	ENSG00000111215
1820440	ENSG00000239732
6650070	ENSG00000145721
2760041	ENSG00000033030
5340504	ENSG00000118507
3420121	ENSG00000087087
2710075	ENSG00000086570
2680471	ENSG00000139684
2760121	ENSG00000147576
3140102	ENSG00000155850
4480180	ENSG00000124795
1070373	ENSG00000148158
6290431	ENSG00000134253
6480209	ENSG00000025039
3460241	ENSG00000197948
2340706	ENSG00000099957
6180402	ENSG00000268034
7560593	ENSG00000099985
870019	ENSG00000240522
5270296	ENSG00000162851
5720070	ENSG00000174796
6480091	ENSG00000140403
70008	ENSG00000116701
1010672	ENSG00000151623
7050300	ENSG00000152518
7650053	ENSG00000093144
630132	ENSG00000185513
4810497	ENSG00000161249
3360204	ENSG00000251675
20241	ENSG00000139514
5130414	ENSG00000164967
1430259	ENSG00000143761
2480202	ENSG00000221916
770112	ENSG00000165061
3520347	ENSG00000204060
6580047	ENSG00000141854
4780307	ENSG00000115896
6560328	ENSG00000137266
4860408	ENSG00000173166
5910719	ENSG00000107485
240594	ENSG00000138772
3170446	ENSG00000167005
7510681	ENSG00000085491
6350243	ENSG00000196878
6450092	ENSG00000197405
5340066	ENSG00000007545
6940139	ENSG00000144036
160494	ENSG00000103569
730259	ENSG00000196557
6560347	ENSG00000101266
2070477	ENSG00000214700
6270615	ENSG00000073605
6290475	ENSG00000138411
6450088	ENSG00000260966
1430524	ENSG00000111144
380669	ENSG00000156384
6370594	ENSG00000205808
4730187	ENSG00000131849
1070639	ENSG00000074201
7510634	ENSG00000170412
7330360	ENSG00000105877
830239	ENSG00000189238
2940671	ENSG00000107816
10722	ENSG00000166582
2690189	ENSG00000131797
6580612	ENSG00000120253
7150224	ENSG00000048392
3420554	ENSG00000168078
840273	ENSG00000002016
70646	ENSG00000162909
2940722	ENSG00000054267
6620292	ENSG00000107738
360673	ENSG00000120451
4480592	ENSG00000176108
2650538	ENSG00000196151
360017	ENSG00000055211
940066	ENSG00000006576
4390367	ENSG00000213222
4730341	ENSG00000165115
2760148	ENSG00000137070
6900703	ENSG00000104728
460504	ENSG00000144648
5290593	ENSG00000130005
2470600	ENSG00000102781
2940017	ENSG00000184602
5290626	ENSG00000119669
1400253	ENSG00000113522
2650148	ENSG00000164253
830687	ENSG00000106069
5050047	ENSG00000158941
130609	ENSG00000090920
430224	ENSG00000111642
3130541	ENSG00000162063
4060376	ENSG00000179044
1010435	ENSG00000143751
1820450	ENSG00000170909
4060438	ENSG00000185633
2680243	ENSG00000256128
2570685	ENSG00000225766
5080280	ENSG00000185033
7380709	ENSG00000166913
6330224	ENSG00000129467
2760494	ENSG00000197724
7150682	ENSG00000048405
1240386	ENSG00000162413
6480561	ENSG00000219481
6770204	ENSG00000133895
6760079	ENSG00000248858
4070189	ENSG00000163806
3360372	ENSG00000121797
6960022	ENSG00000184702
1090239	ENSG00000189091
4280136	ENSG00000130706
60370	ENSG00000196199
7210671	ENSG00000141252
4480674	ENSG00000196865
2760136	ENSG00000100815
4760692	ENSG00000143633
1940301	ENSG00000152939
1850435	ENSG00000165905
5860553	ENSG00000163354
1300121	ENSG00000261097
2810707	ENSG00000171497
7040647	ENSG00000181045
3800537	ENSG00000115762
730484	ENSG00000172548
3390328	ENSG00000213420
3360553	ENSG00000125772
2470008	ENSG00000186951
7210059	ENSG00000186001
6560338	ENSG00000243943
5870075	ENSG00000187942
4120403	ENSG00000140395
4730520	ENSG00000136449
830133	ENSG00000165521
4490161	ENSG00000111640
2260376	ENSG00000022976
7100437	ENSG00000099940
2340402	ENSG00000119698
2490019	ENSG00000167414
780246	ENSG00000226306
2480730	ENSG00000103740
4780484	ENSG00000214872
4230068	ENSG00000104889
3520537	ENSG00000198464
4070133	ENSG00000050165
3170110	ENSG00000113328
6400273	ENSG00000230091
6220541	ENSG00000154518
360142	ENSG00000129465
4490400	ENSG00000258405
4540215	ENSG00000116661
5720692	ENSG00000197467
6760138	ENSG00000234292
5560538	ENSG00000250318
2490433	ENSG00000105982
5310674	ENSG00000103111
3370474	ENSG00000167565
4890327	ENSG00000152778
5960632	ENSG00000136925
6400070	ENSG00000188886
290441	ENSG00000165661
2100670	ENSG00000204936
7570044	ENSG00000173218
6620324	ENSG00000135436
6510427	ENSG00000159579
4780092	ENSG00000131398
650300	ENSG00000110104
4920095	ENSG00000186260
3830553	ENSG00000197776
2480156	ENSG00000171574
2260095	ENSG00000110321
240343	ENSG00000225490
1010647	ENSG00000167543
4070239	ENSG00000142102
4480132	ENSG00000140474
5490301	ENSG00000101104
2370307	ENSG00000148600
4010735	ENSG00000143436
1780441	ENSG00000204282
990594	ENSG00000182400
270678	ENSG00000100246
7160440	ENSG00000032219
2850408	ENSG00000231133
4810008	ENSG00000162928
290035	ENSG00000149357
6420707	ENSG00000229754
6520543	ENSG00000138036
6270564	ENSG00000132514
3890139	ENSG00000100982
610424	ENSG00000058453
6860026	ENSG00000198816
3170576	ENSG00000250490
580390	ENSG00000109819
6420356	ENSG00000089199
2480296	ENSG00000165416
2710746	ENSG00000050820
3390661	ENSG00000059122
5310475	ENSG00000152942
6270487	ENSG00000077092
6660601	ENSG00000100292
5720768	ENSG00000090376
610189	ENSG00000106078
6860373	ENSG00000177963
5490673	ENSG00000106367
3420128	ENSG00000070718
1170072	ENSG00000132003
4590477	ENSG00000104814
1300279	ENSG00000118197
6450685	ENSG00000114554
1660736	ENSG00000100554
3800521	ENSG00000196455
3450403	ENSG00000262180
1260592	ENSG00000184811
50475	ENSG00000164609
7400653	ENSG00000114268
3990554	ENSG00000232224
2190475	ENSG00000197959
4730348	ENSG00000113272
1570110	ENSG00000101363
4150066	ENSG00000166165
6510215	ENSG00000151208
1740022	ENSG00000182557
1450082	ENSG00000167515
5960672	ENSG00000111364
4200008	ENSG00000110046
430767	ENSG00000136807
940482	ENSG00000233165
7210543	ENSG00000129219
5960398	ENSG00000135318
4880561	ENSG00000100591
840709	ENSG00000172071
240358	ENSG00000144736
5700689	ENSG00000126001
7610369	ENSG00000198792
5090482	ENSG00000207757
6860170	ENSG00000115977
1400671	ENSG00000213693
3360500	ENSG00000138798
6560441	ENSG00000154767
450307	ENSG00000223573
2680725	ENSG00000014257
2360563	ENSG00000179299
2690300	ENSG00000198252
2850202	ENSG00000182179
1400520	ENSG00000174469
5310176	ENSG00000269890
4560332	ENSG00000174365
1780673	ENSG00000164105
3060639	ENSG00000145423
130121	ENSG00000025156
360291	ENSG00000250742
4220112	ENSG00000165097
4150446	ENSG00000049323
3850474	ENSG00000133256
2140431	ENSG00000167693
1030333	ENSG00000108691
7380670	ENSG00000118513
540653	ENSG00000172403
5080341	ENSG00000182902
630161	ENSG00000172348
4880403	ENSG00000113504
6660398	ENSG00000085265
6350768	ENSG00000168137
7560114	ENSG00000185909
4830685	ENSG00000077942
1850201	ENSG00000181392
4050064	ENSG00000137877
4730204	ENSG00000162746
1440451	ENSG00000130713
5420343	ENSG00000118217
2190224	ENSG00000107771
2570537	ENSG00000165757
6510278	ENSG00000173846
5890102	ENSG00000145293
1570367	ENSG00000115604
3780193	ENSG00000132185
3870538	ENSG00000122432
6590487	ENSG00000269783
2640180	ENSG00000106443
4810204	ENSG00000198093
3520241	ENSG00000165617
6550632	ENSG00000165804
3290088	ENSG00000124920
4180324	ENSG00000158246
1940494	ENSG00000125846
3940014	ENSG00000149328
380390	ENSG00000226777
6860347	ENSG00000183508
4280669	ENSG00000103479
7380541	ENSG00000231419
1240762	ENSG00000153561
2970411	ENSG00000065054
4810246	ENSG00000154719
540441	ENSG00000142694
7000577	ENSG00000136732
1690170	ENSG00000090924
6480437	ENSG00000232578
5560086	ENSG00000137275
5490014	ENSG00000100426
7050136	ENSG00000124209
3180195	ENSG00000040608
5270674	ENSG00000119714
1820739	ENSG00000156345
7150132	ENSG00000100941
510554	ENSG00000102606
2570554	ENSG00000163873
6040008	ENSG00000005020
240433	ENSG00000221947
6620152	ENSG00000138029
360626	ENSG00000153815
7320377	ENSG00000095932
1690259	ENSG00000198682
6350634	ENSG00000146425
780433	ENSG00000129595
2850537	ENSG00000197226
1510133	ENSG00000104894
510484	ENSG00000141542
4480035	ENSG00000128606
5700553	ENSG00000233488
460414	ENSG00000201544
5270139	ENSG00000104883
5270193	ENSG00000196914
2750524	ENSG00000236624
5960132	ENSG00000166197
5570639	ENSG00000169813
6280129	ENSG00000234199
6420411	ENSG00000183780
5810097	ENSG00000168118
1990494	ENSG00000112367
50360	ENSG00000211450
4730343	ENSG00000113732
3310386	ENSG00000204176
2760520	ENSG00000166845
4060292	ENSG00000158019
3370722	ENSG00000066322
1050086	ENSG00000112561
4210670	ENSG00000145730
2260731	ENSG00000164308
