Probe	Ensembl
2190220	ENSG00000116830
4480026	ENSG00000109270
6250553	ENSG00000167930
1050682	ENSG00000122557
4780050	ENSG00000109814
6650711	ENSG00000161647
3840397	ENSG00000104356
4150692	ENSG00000173193
6330653	ENSG00000235706
4880500	ENSG00000135316
6940689	ENSG00000127554
4180358	ENSG00000115266
4880133	ENSG00000073803
1660072	ENSG00000196961
4150358	ENSG00000131746
4290575	ENSG00000135185
1510300	ENSG00000163435
6400358	ENSG00000158473
2750148	ENSG00000160961
1450131	ENSG00000107371
7330544	ENSG00000109107
10102	ENSG00000205659
4670608	ENSG00000142686
6520435	ENSG00000144681
4850180	ENSG00000133800
7200270	ENSG00000149554
2640471	ENSG00000101236
5890739	ENSG00000164691
1260327	ENSG00000128512
5890452	ENSG00000140675
2260725	ENSG00000257335
3870411	ENSG00000196597
6770497	ENSG00000181690
110136	ENSG00000165671
6270619	ENSG00000156853
7400372	ENSG00000109046
7650669	ENSG00000136111
Human_RefSeq-8_v2-840215	ENSG00000173120
6980246	ENSG00000143776
780333	ENSG00000146221
840634	ENSG00000066185
3520754	ENSG00000163535
1710053	ENSG00000151778
4830209	ENSG00000224888
2900435	ENSG00000150459
1820692	ENSG00000173947
3180215	ENSG00000132676
520689	ENSG00000148848
5310332	ENSG00000168806
1010497	ENSG00000197037
940630	ENSG00000120162
20296	ENSG00000214367
2070095	ENSG00000166135
1240129	ENSG00000121406
3870056	ENSG00000001167
1470148	ENSG00000149201
4890626	ENSG00000111215
1820440	ENSG00000239732
6650070	ENSG00000145721
5340504	ENSG00000118507
2680471	ENSG00000139684
2760121	ENSG00000147576
3140102	ENSG00000155850
6290431	ENSG00000134253
6480209	ENSG00000025039
3460241	ENSG00000197948
7560593	ENSG00000099985
6480091	ENSG00000140403
70008	ENSG00000116701
4810497	ENSG00000161249
20241	ENSG00000139514
5130414	ENSG00000164967
2480202	ENSG00000221916
4780307	ENSG00000115896
6560328	ENSG00000137266
5910719	ENSG00000107485
240594	ENSG00000138772
3170446	ENSG00000167005
7510681	ENSG00000085491
6350243	ENSG00000196878
6450092	ENSG00000197405
5340066	ENSG00000007545
160494	ENSG00000103569
6560347	ENSG00000101266
6270615	ENSG00000073605
6290475	ENSG00000138411
1430524	ENSG00000111144
6370594	ENSG00000205808
4730187	ENSG00000131849
1070639	ENSG00000074201
7330360	ENSG00000105877
2940671	ENSG00000107816
2690189	ENSG00000131797
3420554	ENSG00000168078
840273	ENSG00000002016
70646	ENSG00000162909
2940722	ENSG00000054267
4480592	ENSG00000176108
2650538	ENSG00000196151
2760148	ENSG00000137070
460504	ENSG00000144648
5290593	ENSG00000130005
2470600	ENSG00000102781
2940017	ENSG00000184602
1400253	ENSG00000113522
2650148	ENSG00000164253
830687	ENSG00000106069
5050047	ENSG00000158941
1010435	ENSG00000143751
4060438	ENSG00000185633
5080280	ENSG00000185033
2760494	ENSG00000197724
7150682	ENSG00000048405
4070189	ENSG00000163806
6960022	ENSG00000184702
1090239	ENSG00000189091
60370	ENSG00000196199
4480674	ENSG00000196865
2760136	ENSG00000100815
4760692	ENSG00000143633
1940301	ENSG00000152939
1850435	ENSG00000165905
5860553	ENSG00000163354
7040647	ENSG00000181045
3800537	ENSG00000115762
3390328	ENSG00000213420
3360553	ENSG00000125772
7210059	ENSG00000186001
4120403	ENSG00000140395
4730520	ENSG00000136449
2260376	ENSG00000022976
7100437	ENSG00000099940
2340402	ENSG00000119698
2490019	ENSG00000167414
4230068	ENSG00000104889
4070133	ENSG00000050165
3170110	ENSG00000113328
6220541	ENSG00000154518
360142	ENSG00000129465
4540215	ENSG00000116661
5310674	ENSG00000103111
3370474	ENSG00000167565
4890327	ENSG00000152778
5960632	ENSG00000136925
6400070	ENSG00000188886
290441	ENSG00000165661
7570044	ENSG00000173218
6620324	ENSG00000135436
6510427	ENSG00000159579
4780092	ENSG00000131398
4920095	ENSG00000186260
2480156	ENSG00000171574
1010647	ENSG00000167543
3310278	ENSG00000142102
4480132	ENSG00000140474
2370307	ENSG00000148600
270678	ENSG00000100246
7160440	ENSG00000032219
4810008	ENSG00000162928
290035	ENSG00000149357
610424	ENSG00000058453
6860026	ENSG00000198816
3170576	ENSG00000250490
580390	ENSG00000109819
6420356	ENSG00000089199
2710746	ENSG00000050820
3390661	ENSG00000059122
6660601	ENSG00000100292
610189	ENSG00000106078
6860373	ENSG00000177963
5490673	ENSG00000106367
3420128	ENSG00000070718
4590477	ENSG00000104814
1300279	ENSG00000118197
6450685	ENSG00000114554
1660736	ENSG00000100554
3450403	ENSG00000262180
1260592	ENSG00000184811
50475	ENSG00000164609
7400653	ENSG00000114268
2190475	ENSG00000197959
1570110	ENSG00000101363
4150066	ENSG00000166165
6510215	ENSG00000151208
7040437	ENSG00000182557
1450082	ENSG00000167515
5960672	ENSG00000111364
4200008	ENSG00000110046
7210543	ENSG00000129219
5960398	ENSG00000135318
4880561	ENSG00000100591
840709	ENSG00000172071
5700689	ENSG00000126001
1940100	ENSG00000198792
6860170	ENSG00000115977
3360500	ENSG00000138798
6560441	ENSG00000154767
2680725	ENSG00000014257
2850202	ENSG00000182179
1400520	ENSG00000174469
4560332	ENSG00000174365
1780673	ENSG00000164105
3060639	ENSG00000145423
4220112	ENSG00000165097
1170239	ENSG00000049323
2140431	ENSG00000167693
1030333	ENSG00000108691
7380670	ENSG00000118513
540653	ENSG00000172403
5080341	ENSG00000182902
6660398	ENSG00000085265
4830685	ENSG00000077942
1850201	ENSG00000181392
4050064	ENSG00000137877
4730204	ENSG00000162746
1440451	ENSG00000130713
5420343	ENSG00000118217
2190224	ENSG00000107771
6510278	ENSG00000173846
5890102	ENSG00000145293
3370326	ENSG00000115604
3780193	ENSG00000132185
3870538	ENSG00000122432
4810204	ENSG00000198093
6550632	ENSG00000165804
3290088	ENSG00000124920
4180324	ENSG00000158246
6860347	ENSG00000183508
4280669	ENSG00000103479
1240762	ENSG00000153561
2970411	ENSG00000065054
7000577	ENSG00000136732
1690170	ENSG00000090924
5490014	ENSG00000100426
7050136	ENSG00000124209
3180195	ENSG00000040608
5270674	ENSG00000119714
7150132	ENSG00000100941
510554	ENSG00000102606
240433	ENSG00000221947
360626	ENSG00000153815
1690259	ENSG00000198682
6350634	ENSG00000146425
2850537	ENSG00000197226
4480035	ENSG00000128606
5270139	ENSG00000104883
5270193	ENSG00000196914
5570639	ENSG00000169813
5810097	ENSG00000168118
1990494	ENSG00000112367
50360	ENSG00000211450
4060292	ENSG00000158019
3370722	ENSG00000066322
1050086	ENSG00000112561
2260731	ENSG00000164308
4050736	ENSG00000185261
3140138	ENSG00000234608
5050240	ENSG00000198862
3610167	ENSG00000176834
510551	ENSG00000154237
5490358	ENSG00000240563
5360039	ENSG00000162813
3370092	ENSG00000198648
2260767	ENSG00000124772
2320056	ENSG00000169435
1500706	ENSG00000100335
3060494	ENSG00000187796
4590687	ENSG00000198399
770047	ENSG00000038210
6040259	ENSG00000108839
3130202	ENSG00000196867
2850136	ENSG00000141012
3780403	ENSG00000140598
3190008	ENSG00000142409
5130674	ENSG00000124207
4810128	ENSG00000181649
5090088	ENSG00000136628
5220068	ENSG00000084092
4880110	ENSG00000155744
1240561	ENSG00000130201
5820121	ENSG00000198722
4200170	ENSG00000145916
7320370	ENSG00000138378
3120187	ENSG00000008323
2000162	ENSG00000255833
3520189	ENSG00000105245
2320400	ENSG00000004864
6520241	ENSG00000205593
2900162	ENSG00000164112
6560020	ENSG00000114744
1030278	ENSG00000119943
3930253	ENSG00000164631
Human_RefSeq-8_v2-2450564	ENSG00000167985
7560010	ENSG00000163517
6520681	ENSG00000183010
5670471	ENSG00000132881
20192	ENSG00000101452
3180392	ENSG00000019169
6420575	ENSG00000205726
7510253	ENSG00000111644
6650017	ENSG00000147416
580671	ENSG00000176055
2810167	ENSG00000156795
5820097	ENSG00000135926
1820722	ENSG00000077420
3120014	ENSG00000100439
60328	ENSG00000157368
5310441	ENSG00000236790
240400	ENSG00000124225
4830682	ENSG00000119242
4120152	ENSG00000058729
60768	ENSG00000127452
2900722	ENSG00000138246
4210347	ENSG00000188542
4780041	ENSG00000188177
5820291	ENSG00000171403
4390372	ENSG00000163141
3450364	ENSG00000131652
7570475	ENSG00000127184
870008	ENSG00000075073
2140192	ENSG00000178222
580722	ENSG00000168310
2570204	ENSG00000181652
2940446	ENSG00000198959
2970017	ENSG00000196754
3890370	ENSG00000144893
2510707	ENSG00000183665
1170482	ENSG00000142655
3190427	ENSG00000187098
3830519	ENSG00000125863
650167	ENSG00000188493
2000193	ENSG00000108094
6510187	ENSG00000154227
6330309	ENSG00000111481
6200309	ENSG00000163879
6060356	ENSG00000142541
6940408	ENSG00000188986
5490348	ENSG00000163512
2350653	ENSG00000240225
2340598	ENSG00000100124
290086	ENSG00000099949
770754	ENSG00000136295
5700008	ENSG00000066056
7560541	ENSG00000142583
990725	ENSG00000159147
6840241	ENSG00000084652
1580475	ENSG00000136153
6960189	ENSG00000163006
1340192	ENSG00000068615
1190719	ENSG00000100285
3840750	ENSG00000257218
1400397	ENSG00000091947
2490403	ENSG00000100372
7330164	ENSG00000139726
6130747	ENSG00000161542
2510048	ENSG00000118496
4900626	ENSG00000176401
1500025	ENSG00000135951
6270022	ENSG00000101336
5900451	ENSG00000173898
1410255	ENSG00000137819
1430681	ENSG00000160606
6280360	ENSG00000197912
1580402	ENSG00000157593
6590594	ENSG00000180573
520431	ENSG00000198961
1980338	ENSG00000135315
5390239	ENSG00000121594
2000291	ENSG00000185619
130408	ENSG00000076321
1170228	ENSG00000132744
1690647	ENSG00000112290
270376	ENSG00000146729
1780273	ENSG00000012779
2650138	ENSG00000157778
3140162	ENSG00000105063
4050056	ENSG00000167291
4200162	ENSG00000141076
1570168	ENSG00000163637
4670709	ENSG00000140398
2650504	ENSG00000161813
7560300	ENSG00000152760
2470358	ENSG00000027697
2190047	ENSG00000158169
1030685	ENSG00000139192
5860554	ENSG00000157500
4120348	ENSG00000169410
7040433	ENSG00000087299
5670468	ENSG00000100664
5420435	ENSG00000160199
990164	ENSG00000168350
3390273	ENSG00000163155
4920450	ENSG00000186300
2570139	ENSG00000120948
1010253	ENSG00000076685
2030482	ENSG00000104763
6290181	ENSG00000007376
1580736	ENSG00000117528
1780446	ENSG00000100889
2810767	ENSG00000105246
5860356	ENSG00000173482
3170091	ENSG00000179144
3710632	ENSG00000164022
5550470	ENSG00000169951
1030458	ENSG00000074842
5670100	ENSG00000185339
5670246	ENSG00000075223
2470626	ENSG00000164509
6270553	ENSG00000169245
3390121	ENSG00000137757
6370377	ENSG00000131943
