Probe	Ensembl	Correlation
2190220	ENSG00000116830	0.406331398
4480026	ENSG00000109270	0.771099099
6250553	ENSG00000167930	0.676216202
7100367	ENSG00000167912	0.534179408
1050682	ENSG00000122557	0.55055044
4780050	ENSG00000109814	0.674797506
3140431	ENSG00000105290	0.181707192
6650711	ENSG00000161647	0.283628513
3840397	ENSG00000104356	0.359115593
4150692	ENSG00000173193	0.462309213
6330653	ENSG00000235706	0.62252378
4880500	ENSG00000135316	0.671145804
6940689	ENSG00000127554	0.109698631
4180358	ENSG00000115266	0.133756074
4880133	ENSG00000073803	-0.025484049
1660072	ENSG00000196961	0.678620883
4150358	ENSG00000131746	-0.069742491
4290575	ENSG00000135185	0.696643816
7100288	ENSG00000166226	0.572934582
1510300	ENSG00000163435	0.307507287
6400358	ENSG00000158473	0.513164581
2750148	ENSG00000160961	0.494744576
6660446	ENSG00000164087	0.46592108
1450131	ENSG00000107371	0.421722178
7330544	ENSG00000109107	0.556670883
10102	ENSG00000205659	-0.109407814
4670608	ENSG00000142686	0.474046477
3290386	ENSG00000068971	0.721513649
7160010	ENSG00000034677	0.730410634
1230682	ENSG00000089685	0.399812957
2510605	ENSG00000147689	0.277904048
6520435	ENSG00000144681	0.137623161
4850180	ENSG00000133800	0.637271237
5310204	ENSG00000138078	0.654733627
7200270	ENSG00000149554	0.195909289
2640471	ENSG00000101236	0.553904597
770609	ENSG00000109332	0.22508624
5890739	ENSG00000164691	0.499945512
1260327	ENSG00000128512	0.015553424
5890452	ENSG00000140675	0.204474491
2260725	ENSG00000257335	0.794419142
3870411	ENSG00000196597	0.611598499
6770497	ENSG00000181690	0.714823593
110136	ENSG00000165671	0.198716547
6270619	ENSG00000156853	0.372699883
7400372	ENSG00000109046	0.682102344
7650669	ENSG00000136111	0.711595012
4830315	ENSG00000143507	0.472322182
6980246	ENSG00000143776	0.320002278
780333	ENSG00000146221	0.002939391
840634	ENSG00000066185	0.360694685
3520754	ENSG00000163535	0.590034349
1710053	ENSG00000151778	0.047287346
4830209	ENSG00000224888	0.162216752
2900435	ENSG00000150459	0.012578517
6480274	ENSG00000174501	0.407412589
1820692	ENSG00000173947	-0.053489184
3180215	ENSG00000132676	0.411422031
520689	ENSG00000148848	0.064511873
3180470	ENSG00000073578	0.644481756
5310332	ENSG00000168806	0.601358741
3890056	ENSG00000116641	-0.203859473
7200707	ENSG00000198890	0.730427463
1820326	ENSG00000244479	0.160311138
1010497	ENSG00000197037	0.188347248
940630	ENSG00000120162	0.490335169
20296	ENSG00000214367	0.068546346
510435	ENSG00000171033	0.76949865
110731	ENSG00000114948	0.5209436
2070095	ENSG00000166135	0.392974618
1240129	ENSG00000121406	0.572150771
3870056	ENSG00000001167	0.29760222
1470148	ENSG00000149201	0.189419013
4290358	ENSG00000135624	0.521823848
4890626	ENSG00000111215	0.401420984
1820440	ENSG00000239732	0.017265133
6650070	ENSG00000145721	0.000486
2760041	ENSG00000033030	0.233123151
5340504	ENSG00000118507	0.738311217
3420121	ENSG00000087087	0.531175721
4570593	ENSG00000086570	0.080981976
2680471	ENSG00000139684	0.247689498
2760121	ENSG00000147576	0.533213053
3140102	ENSG00000155850	0.138667042
4480180	ENSG00000124795	0.724543993
1070373	ENSG00000148158	0.577826168
6290431	ENSG00000134253	0.07164532
6480209	ENSG00000025039	0.692737598
3460241	ENSG00000197948	0.632521647
6180402	ENSG00000268034	0.142425689
7560593	ENSG00000099985	0.692620023
5270296	ENSG00000162851	0.8010396
5720070	ENSG00000174796	0.488650887
6480091	ENSG00000140403	0.133921482
70008	ENSG00000116701	0.571111312
1010672	ENSG00000151623	0.710210982
7050300	ENSG00000152518	0.381628485
7650053	ENSG00000093144	0.634572956
630132	ENSG00000185513	0.360983792
4810497	ENSG00000161249	0.080057766
20241	ENSG00000139514	0.525610944
5130414	ENSG00000164967	0.631103075
1430259	ENSG00000143761	0.749765279
2480202	ENSG00000221916	0.164832846
6580047	ENSG00000141854	0.678427836
4780307	ENSG00000115896	0.690174458
6560328	ENSG00000137266	0.477937155
4860408	ENSG00000173166	0.418328207
5910719	ENSG00000107485	0.557472749
240594	ENSG00000138772	0.62535927
3170446	ENSG00000167005	0.77718368
7510681	ENSG00000085491	0.499854598
6350243	ENSG00000196878	0.11229933
6450092	ENSG00000197405	0.755982532
5340066	ENSG00000007545	0.073961995
6940139	ENSG00000144036	-0.002876414
160494	ENSG00000103569	0.805312118
7050414	ENSG00000196557	0.517923398
6560347	ENSG00000101266	0.275775816
