Probe	Ensembl	Correlation
ENSG00000003137	ENSG00000003137	1
ENSG00000006042	ENSG00000006042	1
ENSG00000006047	ENSG00000006047	1
ENSG00000006468	ENSG00000006468	1
ENSG00000006747	ENSG00000006747	1
ENSG00000007062	ENSG00000007062	1
ENSG00000007171	ENSG00000007171	1
ENSG00000007384	ENSG00000007384	1
ENSG00000010282	ENSG00000010282	1
ENSG00000015520	ENSG00000015520	1
ENSG00000017373	ENSG00000017373	1
ENSG00000017427	ENSG00000017427	1
ENSG00000019186	ENSG00000019186	1
ENSG00000021826	ENSG00000021826	1
ENSG00000024526	ENSG00000024526	1
ENSG00000034239	ENSG00000034239	1
ENSG00000039600	ENSG00000039600	1
ENSG00000039987	ENSG00000039987	1
ENSG00000046604	ENSG00000046604	1
ENSG00000047617	ENSG00000047617	1
ENSG00000050820	ENSG00000050820	1
ENSG00000055813	ENSG00000055813	1
ENSG00000057468	ENSG00000057468	1
ENSG00000057593	ENSG00000057593	1
ENSG00000060566	ENSG00000060566	1
ENSG00000060709	ENSG00000060709	1
ENSG00000064042	ENSG00000064042	1
ENSG00000064489	ENSG00000064489	1
ENSG00000064655	ENSG00000064655	1
ENSG00000066032	ENSG00000066032	1
ENSG00000067715	ENSG00000067715	1
ENSG00000068615	ENSG00000068615	1
ENSG00000069764	ENSG00000069764	1
ENSG00000070159	ENSG00000070159	1
ENSG00000070388	ENSG00000070388	1
ENSG00000070729	ENSG00000070729	1
ENSG00000073146	ENSG00000073146	1
ENSG00000073598	ENSG00000073598	1
ENSG00000073712	ENSG00000073712	1
ENSG00000075213	ENSG00000075213	1
ENSG00000075290	ENSG00000075290	1
ENSG00000075643	ENSG00000075643	1
ENSG00000077063	ENSG00000077063	1
ENSG00000077942	ENSG00000077942	1
ENSG00000080166	ENSG00000080166	1
ENSG00000081041	ENSG00000081041	1
ENSG00000081148	ENSG00000081148	1
ENSG00000085276	ENSG00000085276	1
ENSG00000087116	ENSG00000087116	1
ENSG00000087128	ENSG00000087128	1
ENSG00000087250	ENSG00000087250	1
ENSG00000089199	ENSG00000089199	1
ENSG00000091844	ENSG00000091844	1
ENSG00000091879	ENSG00000091879	1
ENSG00000092445	ENSG00000092445	1
ENSG00000092969	ENSG00000092969	1
ENSG00000095627	ENSG00000095627	1
ENSG00000095917	ENSG00000095917	1
ENSG00000099937	ENSG00000099937	1
ENSG00000099960	ENSG00000099960	1
ENSG00000100053	ENSG00000100053	1
ENSG00000100121	ENSG00000100121	1
ENSG00000100156	ENSG00000100156	1
ENSG00000100206	ENSG00000100206	1
ENSG00000100234	ENSG00000100234	1
ENSG00000100253	ENSG00000100253	1
ENSG00000100583	ENSG00000100583	1
ENSG00000101115	ENSG00000101115	1
ENSG00000101276	ENSG00000101276	1
ENSG00000101321	ENSG00000101321	1
ENSG00000101440	ENSG00000101440	1
ENSG00000101443	ENSG00000101443	1
ENSG00000101542	ENSG00000101542	1
ENSG00000102794	ENSG00000102794	1
ENSG00000103021	ENSG00000103021	1
ENSG00000103742	ENSG00000103742	1
ENSG00000103855	ENSG00000103855	1
ENSG00000104332	ENSG00000104332	1
ENSG00000104723	ENSG00000104723	1
ENSG00000104804	ENSG00000104804	1
ENSG00000105137	ENSG00000105137	1
ENSG00000105219	ENSG00000105219	1
ENSG00000105419	ENSG00000105419	1
ENSG00000105695	ENSG00000105695	1
