Probe	Ensembl	chromosome_name
SCYL3	ENSG00000000457	1
C1orf112	ENSG00000000460	1
FGR	ENSG00000000938	1
CFH	ENSG00000000971	1
C1orf201	ENSG00000001460	1
NIPAL3	ENSG00000001461	1
AK2	ENSG00000004455	1
KDM1A	ENSG00000004487	1
TTC22	ENSG00000006555	1
ST7L	ENSG00000007341	1
DNAJC11	ENSG00000007923	1
CDK11A	ENSG00000008128	1
NADK	ENSG00000008130	1
CSDE1	ENSG00000009307	1
MASP2	ENSG00000009724	1
FAM76A	ENSG00000009780	1
TRAF3IP3	ENSG00000009790	1
C1orf124	ENSG00000010072	1
METTL13	ENSG00000010165	1
SCMH1	ENSG00000010803	1
TCEB3	ENSG00000011007	1
LYPLA2	ENSG00000011009	1
CLCN6	ENSG00000011021	1
MTMR11	ENSG00000014914	1
NCDN	ENSG00000020129	1
RUNX3	ENSG00000020633	1
GLRX2	ENSG00000023572	1
PLEKHO1	ENSG00000023902	1
GCLM	ENSG00000023909	1
KPNA6	ENSG00000025800	1
SLAMF7	ENSG00000026751	1
SH2D2A	ENSG00000027869	1
TNFRSF1B	ENSG00000028137	1
SARS	ENSG00000031698	1
ADSS	ENSG00000035687	1
ZZZ3	ENSG00000036549	1
FBXO42	ENSG00000037637	1
PQLC2	ENSG00000040487	1
THAP3	ENSG00000041988	1
TRIT1	ENSG00000043514	1
TPR	ENSG00000047410	1
VPS13D	ENSG00000048707	1
COL9A2	ENSG00000049089	1
H6PD	ENSG00000049239	1
VAMP3	ENSG00000049245	1
PER3	ENSG00000049246	1
UTS2	ENSG00000049247	1
TNFRSF9	ENSG00000049249	1
PTGER3	ENSG00000050628	1
SIKE1	ENSG00000052723	1
AKR7A2	ENSG00000053371	1
MRTO4	ENSG00000053372	1
TRAPPC3	ENSG00000054116	1
THRAP3	ENSG00000054118	1
ARID4B	ENSG00000054267	1
OPN3	ENSG00000054277	1
KIF1B	ENSG00000054523	1
C1orf144	ENSG00000055070	1
MCOLN3	ENSG00000055732	1
SOAT1	ENSG00000057252	1
C1orf128	ENSG00000057757	1
CROCC	ENSG00000058453	1
ATP2B4	ENSG00000058668	1
ZC3H11A	ENSG00000058673	1
YIPF1	ENSG00000058799	1
TMEM48	ENSG00000058804	1
TARBP1	ENSG00000059588	1
PIGV	ENSG00000060642	1
PTPRU	ENSG00000060656	1
SNRNP40	ENSG00000060688	1
DDX20	ENSG00000064703	1
CHI3L2	ENSG00000064886	1
GNAI3	ENSG00000065135	1
WDR3	ENSG00000065183	1
PKN2	ENSG00000065243	1
SPEN	ENSG00000065526	1
TMEM206	ENSG00000065600	1
YBX1	ENSG00000065978	1
PPP2R5A	ENSG00000066027	1
TIE1	ENSG00000066056	1
KDM4A	ENSG00000066135	1
