Probe	Ensembl
15209	ENSG00000188976
15210	ENSG00000187961
15211	ENSG00000187583
15212	ENSG00000187642
15213	ENSG00000188290
15216	ENSG00000187608
15217	ENSG00000188157
15221	ENSG00000131591
15227	ENSG00000162571
15228	ENSG00000186891
15229	ENSG00000186827
15230	ENSG00000078808
15231	ENSG00000176022
15232	ENSG00000184163
15234	ENSG00000160087
15236	ENSG00000162572
15237	ENSG00000131584
15238	ENSG00000169972
15239	ENSG00000127054
15241	ENSG00000224051
15242	ENSG00000169962
15243	ENSG00000107404
15244	ENSG00000162576
15245	ENSG00000175756
15247	ENSG00000221978
15248	ENSG00000224870
57255	ENSG00000242485
15251	ENSG00000235098
15256	ENSG00000215915
15257	ENSG00000160072
15258	ENSG00000197785
15259	ENSG00000205090
15260	ENSG00000160075
15265	ENSG00000197530
15267	ENSG00000248333
57865	ENSG00000268575
57038	ENSG00000215790
15276	ENSG00000008130
15277	ENSG00000078369
15279	ENSG00000169885
15283	ENSG00000187730
15285	ENSG00000067606
15288	ENSG00000269554
15287	ENSG00000162585
15292	ENSG00000157933
15293	ENSG00000116151
15298	ENSG00000157916
15299	ENSG00000157911
15300	ENSG00000149527
15303	ENSG00000157881
15306	ENSG00000157873
15309	ENSG00000157870
15310	ENSG00000142606
15318	ENSG00000142611
15321	ENSG00000162591
15324	ENSG00000158109
15325	ENSG00000116213
15326	ENSG00000078900
15329	ENSG00000227372
15332	ENSG00000130764
15334	ENSG00000116198
15335	ENSG00000169598
15337	ENSG00000198912
15345	ENSG00000196581
15352	ENSG00000131697
15354	ENSG00000069424
15356	ENSG00000116254
15357	ENSG00000116251
15359	ENSG00000158286
15360	ENSG00000116237
15363	ENSG00000158292
15364	ENSG00000097021
15366	ENSG00000187017
15369	ENSG00000215788
15370	ENSG00000171680
15371	ENSG00000162408
15375	ENSG00000204859
15376	ENSG00000162413
15377	ENSG00000116273
15378	ENSG00000041988
15379	ENSG00000007923
15383	ENSG00000171735
15393	ENSG00000049245
15395	ENSG00000049246
15397	ENSG00000049247
15398	ENSG00000049249
15399	ENSG00000116288
15401	ENSG00000116285
15410	ENSG00000162426
15412	ENSG00000142599
15421	ENSG00000074800
15428	ENSG00000131686
15431	ENSG00000142583
15433	ENSG00000180758
15437	ENSG00000049239
15439	ENSG00000171621
15442	ENSG00000171612
15444	ENSG00000188807
15445	ENSG00000171608
15449	ENSG00000171603
15450	ENSG00000178585
15452	ENSG00000162441
15454	ENSG00000173614
15458	ENSG00000162444
15460	ENSG00000130939
15464	ENSG00000054523
15469	ENSG00000142657
56605	ENSG00000175279
57235	ENSG00000241563
15473	ENSG00000160049
15475	ENSG00000142655
15477	ENSG00000130940
15479	ENSG00000175262
15483	ENSG00000120948
15484	ENSG00000009724
15485	ENSG00000116649
15486	ENSG00000171824
15489	ENSG00000198793
15496	ENSG00000120942
15499	ENSG00000204624
15501	ENSG00000116661
15502	ENSG00000132879
15503	ENSG00000116663
15504	ENSG00000116670
15505	ENSG00000162490
15506	ENSG00000177674
15509	ENSG00000177000
57252	ENSG00000011021
15512	ENSG00000175206
15518	ENSG00000083444
15519	ENSG00000116688
15520	ENSG00000116691
15523	ENSG00000120949
15526	ENSG00000028137
15530	ENSG00000048707
15533	ENSG00000162496
15592	ENSG00000116731
15596	ENSG00000189337
15599	ENSG00000171729
15602	ENSG00000142621
15606	ENSG00000142634
15607	ENSG00000162438
58110	ENSG00000215704
15610	ENSG00000132906
15611	ENSG00000116138
15613	ENSG00000116771
57035	ENSG00000197312
15620	ENSG00000116786
15623	ENSG00000162461
15628	ENSG00000233954
15631	ENSG00000065526
15633	ENSG00000116809
15644	ENSG00000142627
15647	ENSG00000142632
15651	ENSG00000132881
15653	ENSG00000037637
15654	ENSG00000055070
15657	ENSG00000157191
15668	ENSG00000219481
15675	ENSG00000268869
15677	ENSG00000058453
15691	ENSG00000159363
15692	ENSG00000117118
15693	ENSG00000117115
15699	ENSG00000159339
15701	ENSG00000256049
15706	ENSG00000074964
15713	ENSG00000179023
57447	ENSG00000159423
57448	ENSG00000169991
15723	ENSG00000127481
15726	ENSG00000127463
15727	ENSG00000053372
15728	ENSG00000211454
15729	ENSG00000162482
15730	ENSG00000053371
15732	ENSG00000040487
15734	ENSG00000077549
56590	ENSG00000173436
15742	ENSG00000158747
15743	ENSG00000158748
15744	ENSG00000162542
15747	ENSG00000169914
15752	ENSG00000117215
15755	ENSG00000187980
15757	ENSG00000162543
15759	ENSG00000158816
15763	ENSG00000162545
15764	ENSG00000090432
15767	ENSG00000158825
15768	ENSG00000158828
15769	ENSG00000117242
15771	ENSG00000244038
15772	ENSG00000117245
15776	ENSG00000127483
15778	ENSG00000075151
15785	ENSG00000117298
15796	ENSG00000162551
15799	ENSG00000076864
15800	ENSG00000090686
15802	ENSG00000187942
15803	ENSG00000142798
15815	ENSG00000070831
15820	ENSG00000184677
15823	ENSG00000173372
15824	ENSG00000159189
15825	ENSG00000173369
15826	ENSG00000133216
15833	ENSG00000004487
57211	ENSG00000169641
15844	ENSG00000125944
15845	ENSG00000125945
15846	ENSG00000249087
15848	ENSG00000204219
15850	ENSG00000088280
15851	ENSG00000007968
15853	ENSG00000117318
15856	ENSG00000142676
15859	ENSG00000011007
15861	ENSG00000057757
15862	ENSG00000011009
15863	ENSG00000117308
15864	ENSG00000117305
15865	ENSG00000179163
15866	ENSG00000188822
15873	ENSG00000189266
15874	ENSG00000188529
15881	ENSG00000185436
15887	ENSG00000001460
15888	ENSG00000001461
15889	ENSG00000117602
15895	ENSG00000133226
15897	ENSG00000169504
15899	ENSG00000020633
15906	ENSG00000117614
15907	ENSG00000117616
15909	ENSG00000187010
15912	ENSG00000183726
15915	ENSG00000188672
15918	ENSG00000204178
15919	ENSG00000157978
15921	ENSG00000117643
56496	ENSG00000162430
15926	ENSG00000117640
15928	ENSG00000127423
15930	ENSG00000182749
15932	ENSG00000117632
15937	ENSG00000158006
15945	ENSG00000175087
15949	ENSG00000142675
15952	ENSG00000130695
15953	ENSG00000142669
15954	ENSG00000158062
15955	ENSG00000169442
15956	ENSG00000176092
15959	ENSG00000176083
15961	ENSG00000117682
15966	ENSG00000117676
15974	ENSG00000117713
15976	ENSG00000060642
15978	ENSG00000204160
15979	ENSG00000175793
15981	ENSG00000142751
15982	ENSG00000198746
15983	ENSG00000090273
15985	ENSG00000175707
15989	ENSG00000253368
15990	ENSG00000158246
15991	ENSG00000090020
15997	ENSG00000142784
16000	ENSG00000186501
16003	ENSG00000142765
16004	ENSG00000142733
16006	ENSG00000174950
16008	ENSG00000181773
16009	ENSG00000158195
16012	ENSG00000126705
16013	ENSG00000000938
16016	ENSG00000126709
16021	ENSG00000009780
16024	ENSG00000117758
16028	ENSG00000117751
16031	ENSG00000130775
16032	ENSG00000117748
16033	ENSG00000130768
16036	ENSG00000158161
16042	ENSG00000214812
16045	ENSG00000169403
16049	ENSG00000130770
16050	ENSG00000130766
16051	ENSG00000130772
16052	ENSG00000204138
16056	ENSG00000180198
16062	ENSG00000180098
16063	ENSG00000197989
16069	ENSG00000188060
16068	ENSG00000120656
16073	ENSG00000162419
16080	ENSG00000159023
16085	ENSG00000116350
16087	ENSG00000116353
16089	ENSG00000060656
16102	ENSG00000162510
16104	ENSG00000162511
16110	ENSG00000162512
16111	ENSG00000134644
16120	ENSG00000060688
16122	ENSG00000121766
16124	ENSG00000121769
16125	ENSG00000168528
16133	ENSG00000121764
16134	ENSG00000162517
16138	ENSG00000121753
16141	ENSG00000134668
57786	ENSG00000184007
16147	ENSG00000121774
16149	ENSG00000121775
57356	ENSG00000025800
16153	ENSG00000084652
16154	ENSG00000160050
16156	ENSG00000160051
16157	ENSG00000222046
16158	ENSG00000160055
16159	ENSG00000084623
16161	ENSG00000183615
16162	ENSG00000182866
16164	ENSG00000116478
16165	ENSG00000175130
16167	ENSG00000162526
16169	ENSG00000160058
16176	ENSG00000176261
16178	ENSG00000162521
16179	ENSG00000162520
16181	ENSG00000162522
16182	ENSG00000134684
16183	ENSG00000116497
16184	ENSG00000160097
16188	ENSG00000116514
16193	ENSG00000004455
16194	ENSG00000142920
16195	ENSG00000116525
57481	ENSG00000160094
16199	ENSG00000184389
16201	ENSG00000134686
16207	ENSG00000121903
16218	ENSG00000189280
16217	ENSG00000163866
16223	ENSG00000187513
16225	ENSG00000116544
57222	ENSG00000241014
57804	ENSG00000163867
16231	ENSG00000197056
16233	ENSG00000116560
16236	ENSG00000146463
16242	ENSG00000142687
16244	ENSG00000020129
16246	ENSG00000116819
16248	ENSG00000126067
16250	ENSG00000142686
16251	ENSG00000092853
16253	ENSG00000134698
16254	ENSG00000092847
16255	ENSG00000126070
16257	ENSG00000092850
16258	ENSG00000116863
16259	ENSG00000171812
16260	ENSG00000054116
16261	ENSG00000116871
16265	ENSG00000214193
16266	ENSG00000142694
57964	ENSG00000116883
16268	ENSG00000196182
16269	ENSG00000181817
16271	ENSG00000116885
16273	ENSG00000116898
16274	ENSG00000119535
16277	ENSG00000163873
16284	ENSG00000163874
16285	ENSG00000163875
16287	ENSG00000163877
16290	ENSG00000163879
16291	ENSG00000134697
16293	ENSG00000116922
16294	ENSG00000134690
16295	ENSG00000183317
16300	ENSG00000185090
16302	ENSG00000196449
16303	ENSG00000197982
16304	ENSG00000188786
16307	ENSG00000204084
16311	ENSG00000183431
16313	ENSG00000183386
16314	ENSG00000183520
16323	ENSG00000116954
16325	ENSG00000214114
16327	ENSG00000158315
16331	ENSG00000174574
16332	ENSG00000168653
16333	ENSG00000127603
57441	ENSG00000255103
56825	ENSG00000201457
16344	ENSG00000090621
16347	ENSG00000163909
16350	ENSG00000116983
16351	ENSG00000084072
16354	ENSG00000116985
16358	ENSG00000043514
16360	ENSG00000116990
16363	ENSG00000168389
16365	ENSG00000131236
16366	ENSG00000131238
16368	ENSG00000117000
16372	ENSG00000084073
16375	ENSG00000049089
16377	ENSG00000084070
16379	ENSG00000187801
16381	ENSG00000187815
16383	ENSG00000164002
16386	ENSG00000117010
16389	ENSG00000117016
16391	ENSG00000066136
